bin,bank,country,type,level
475780,SAHARA BANK,COTE D'IVOIRE,Debit,PLATINUM
476413,SOCIETE GENERALE DE BANQUES EN COTE D'IVOIRE (SGBCI),COTE D'IVOIRE,Debit,INFINITE
462765,ERSTE AND STEIERMARKISCHE BANK D.D.,CROATIA,Debit,ELECTRON
516844,AIR BANK, A.S.,CZECH REPUBLIC,Debit,STANDARD
516892,KOMERCNI BANKA, A.S.,CZECH REPUBLIC,Debit,STANDARD
536058,BANCO DE RESERVAS DE LA REPUBLICA DOMINICANA,DOMINICAN REPUBLIC,Debit,STANDARD
474359,Unknown,ESTONIA,Debit,BUSINESS
516737,SWEDBANK AS,ESTONIA,Debit,STANDARD
537483,AS SEB PANK,ESTONIA,Debit,STUDENT
543065,NORDEA BANK AB (PUBL),FINLAND,Credit,PLATINUM
370251,Unknown,FRANCE,Credit,CORPORATE
374901,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374902,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374903,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374904,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374905,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374906,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374906,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374907,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374908,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374909,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374910,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374911,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374912,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit
516292,NU PAGAMENTOS SA,BRAZIL,Credit,PLATINUM
550209,NU PAGAMENTOS SA,BRAZIL,Credit,GOLD
535716,PAYNETICS EAD,BULGARIA,Debit,BUSINESS
450231,CANADIAN IMPERIAL BANK OF COMMERCE,CANADA,Credit,PLATINUM
451014,ROYAL BANK OF CANADA,CANADA,Credit,CLASSIC
451015,ROYAL BANK OF CANADA,CANADA,Credit,CLASSIC
519123,BANK OF MONTREAL,CANADA,Credit,STANDARD
589297,TD CANADA TRUST,CANADA,Debit,STANDARD
533187,BANCO FALABELLA,CHILE,Debit,STANDARD
451461,CHINA MERCHANTS BANK,CHINA,Credit,SIGNATURE
466248,BANK OF CHINA, LTD.,CHINA,Credit,PLATINUM
524207,BANK OF CHINA, LTD.,CHINA,Credit,WORLD
530691,BANCOLOMBIA, S.A.,COLOMBIA,Debit,STANDARD
549158,BANCOLOMBIA, S.A.,COLOMBIA,Credit,BLACK
457154,SYDBANK A/S,DENMARK,Debit,CLASSIC
555560,BOKIS,DENMARK,Debit,STANDARD
545178,BANCO DEL PACIFICO, S.A.,ECUADOR,Credit,BLACK
374902,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374908,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374912,FRANCE,FRANCE,Credit,PERSONAL
374913,FRANCE,FRANCE,Credit,PERSONAL
374914,FRANCE,FRANCE,Credit,PERSONAL
374917,FRANCE,FRANCE,Credit,PERSONAL
374970,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374987,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
374988,FRANCE,FRANCE,Credit,PERSONAL
374989,AMEX FRANCE GLOBESTAR CHARGE,FRANCE,Credit,PERSONAL
412521,FRANCE,FRANCE,Credit,PLATINUM
412522,FRANCE,FRANCE,Debit,GOLD
412523,FRANCE,FRANCE,Credit,GOLD
412524,FRANCE,FRANCE,Debit,GOLD
412525,FRANCE,FRANCE,Credit,GOLD
416538,BOURSORAMA BANQUE,FRANCE,Debit,CLASSIC
435043,BPCE,FRANCE,Credit,BUSINESS
439672,BPCE,FRANCE,Debit,CLASSIC
442452,BNP PARIBAS REUNION,FRANCE,Debit,GOLD
453304,CREDIT AGRICOLE, S.A.,FRANCE,Debit,CLASSIC
453307,CREDIT AGRICOLE, S.A.,FRANCE,Debit,CLASSIC
453308,CREDIT AGRICOLE, S.A.,FRANCE,Debit,GOLD
